rowNumber,catalog,category,material,displayName,description,sizeNominal,sizeUnit,imageUrl,aliases,isActive,sourceSku,importStatus
1,Plumbing,Pipe,Carbon Steel,"2 1/2"" Carbon Steel 2 1/2 X21 BLK STD ERW A53 RG",2 1/2 X21 BLK STD ERW A53 RG,2 1/2,in,,212BSPRG; 2 1/2 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW,TRUE,212BSPRG,candidate from photo - review OCR before import
2,Plumbing,Pipe,Carbon Steel,"3"" Carbon Steel 3 X21 BLK STD ERW A53 RG",3 X21 BLK STD ERW A53 RG,3,in,,3BSPRG; 3 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW,TRUE,3BSPRG,candidate from photo - review OCR before import
3,Plumbing,Pipe,Carbon Steel,"4"" Carbon Steel 4 X21 BLK STD ERW A53 RG",4 X21 BLK STD ERW A53 RG,4,in,,4BSPRG; 4 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW,TRUE,4BSPRG,candidate from photo - review OCR before import
4,Plumbing,Pipe,Carbon Steel,"6"" Carbon Steel 6 X21 BLK STD ERW A53 RG",6 X21 BLK STD ERW A53 RG,6,in,,6BSPRG; 6 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW,TRUE,6BSPRG,candidate from photo - review OCR before import
5,Plumbing,Pipe,Carbon Steel,"2 1/2"" Carbon Steel 2 1/2 X 21 BLK STD ERW A53 BE",2 1/2 X 21 BLK STD ERW A53 BE,2 1/2,in,,212BSPPE; 2 1/2 X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,212BSPPE,candidate from photo - review OCR before import
6,Plumbing,Pipe,Carbon Steel,"3"" Carbon Steel 3 X21 BLK STD ERW A53 BE",3 X21 BLK STD ERW A53 BE,3,in,,3BSPPE; 3 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,3BSPPE,candidate from photo - review OCR before import
7,Plumbing,Pipe,Carbon Steel,"4"" Carbon Steel 4 X21 BLK STD ERW A53 BE",4 X21 BLK STD ERW A53 BE,4,in,,4BSPPE; 4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,4BSPPE,candidate from photo - review OCR before import
8,Plumbing,Pipe,Carbon Steel,"6"" Carbon Steel 6 X21 BLK STD ERW A53 BE",6 X21 BLK STD ERW A53 BE,6,in,,6BSPPE; 6 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,6BSPPE,candidate from photo - review OCR before import
9,Plumbing,Pipe,Carbon Steel,"8"" Carbon Steel 8 X21 BLK STD ERW A53 BE",8 X21 BLK STD ERW A53 BE,8,in,,8BSPPE; 8 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,8BSPPE,candidate from photo - review OCR before import
10,Plumbing,Pipe,Carbon Steel,"10"" Carbon Steel 10"" X 21 BLK STD ERW A53 BE","10"" X 21 BLK STD ERW A53 BE",10,in,,"10BSPPE; 10"" X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW",TRUE,10BSPPE,candidate from photo - review OCR before import
11,Plumbing,Pipe,Carbon Steel,"12"" Carbon Steel 12"" X 21 BLK STD ERW A53 BE","12"" X 21 BLK STD ERW A53 BE",12,in,,"120BSPPE; 12"" X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW",TRUE,120BSPPE,candidate from photo - review OCR before import
12,Plumbing,Pipe,Carbon Steel,"1/2"" Carbon Steel 1/2 X21 BLK STD ERW A53 BE",1/2 X21 BLK STD ERW A53 BE,1/2,in,,12BSPPE; 1/2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,12BSPPE,candidate from photo - review OCR before import
13,Plumbing,Pipe,Carbon Steel,"3/4"" Carbon Steel 3/4 X21 BLK STD ERW A53 BE",3/4 X21 BLK STD ERW A53 BE,3/4,in,,34BSPPE; 3/4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,34BSPPE,candidate from photo - review OCR before import
14,Plumbing,Pipe,Carbon Steel,"1"" Carbon Steel 1 X21 BLK STD ERW A53 BE",1 X21 BLK STD ERW A53 BE,1,in,,1BSPPE; 1 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,1BSPPE,candidate from photo - review OCR before import
15,Plumbing,Pipe,Carbon Steel,"1 1/4"" Carbon Steel 1 1/4 X21 BLK STD ERW A53 BE",1 1/4 X21 BLK STD ERW A53 BE,1 1/4,in,,114BSPPE; 1 1/4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,114BSPPE,candidate from photo - review OCR before import
16,Plumbing,Pipe,Carbon Steel,"1 1/2"" Carbon Steel 1 1/2 X21 BLK STD ERW A53 BE",1 1/2 X21 BLK STD ERW A53 BE,1 1/2,in,,112BSPPE; 1 1/2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,112BSPPE,candidate from photo - review OCR before import
17,Plumbing,Pipe,Carbon Steel,"2"" Carbon Steel 2 X21 BLK STD ERW A53 BE",2 X21 BLK STD ERW A53 BE,2,in,,2BSPPE; 2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW,TRUE,2BSPPE,candidate from photo - review OCR before import
18,Plumbing,Pipe,Carbon Steel,"1/2"" Carbon Steel 1/2 X21 BLK STD ERW A53 T/C",1/2 X21 BLK STD ERW A53 T/C,1/2,in,,12BSPSC; 1/2 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,12BSPSC,candidate from photo - review OCR before import
19,Plumbing,Pipe,Carbon Steel,"3/4"" Carbon Steel 3/4 X21 BLK STD ERW A53 T/C",3/4 X21 BLK STD ERW A53 T/C,3/4,in,,34BSPSC; 3/4 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,34BSPSC,candidate from photo - review OCR before import
20,Plumbing,Pipe,Carbon Steel,"1"" Carbon Steel 1 X21 BLK STD ERW A53 T/C",1 X21 BLK STD ERW A53 T/C,1,in,,1BSPSC; 1 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,1BSPSC,candidate from photo - review OCR before import
21,Plumbing,Pipe,Carbon Steel,"1 1/4"" Carbon Steel 1 1/4 X21 BLK STD ERW A53 T/C",1 1/4 X21 BLK STD ERW A53 T/C,1 1/4,in,,114BSPSC; 1 1/4 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,114BSPSC,candidate from photo - review OCR before import
22,Plumbing,Pipe,Carbon Steel,"1 1/2"" Carbon Steel 1 1/2 X21 BLK STD ERW A53 T/C",1 1/2 X21 BLK STD ERW A53 T/C,1 1/2,in,,112BSPSC; 1 1/2 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,112BSPSC,candidate from photo - review OCR before import
23,Plumbing,Pipe,Carbon Steel,"2"" Carbon Steel 2 X21 BLK STD ERW A53 T/C",2 X21 BLK STD ERW A53 T/C,2,in,,2BSPSC; 2 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW,TRUE,2BSPSC,candidate from photo - review OCR before import
24,Plumbing,Pipe,Carbon Steel,"2 1/2"" Carbon Steel 2 1/2"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG","2 1/2"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG",2 1/2,in,,"212BSPRG10; 2 1/2"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG; Black steel pipe; A53; ERW",TRUE,212BSPRG10,candidate from photo - review OCR before import
25,Plumbing,Pipe,Carbon Steel,"3"" Carbon Steel 3"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG","3"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG",3,in,,"3BSPRG10; 3"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG; Black steel pipe; A53; ERW",TRUE,3BSPRG10,candidate from photo - review OCR before import
26,Plumbing,Pipe,Carbon Steel,"4"" Carbon Steel 4"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG","4"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG",4,in,,"4BSPRG10; 4"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG; Black steel pipe; A53; ERW",TRUE,4BSPRG10,candidate from photo - review OCR before import
27,Plumbing,Pipe,Carbon Steel,"6"" Carbon Steel 6"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG","6"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG",6,in,,"6BSPRG10; 6"" X 10.5FT BLACK STEEL PIPE STD SCH40 ERW A53B RG; Black steel pipe; A53; ERW",TRUE,6BSPRG10,candidate from photo - review OCR before import
28,Plumbing,Pipe,Carbon Steel,"8"" Carbon Steel 8"" X 10.5FT BLACK STEEL PIPE STD ERW A53B RG","8"" X 10.5FT BLACK STEEL PIPE STD ERW A53B RG",8,in,,"8BSPRG10; 8"" X 10.5FT BLACK STEEL PIPE STD ERW A53B RG; Black steel pipe; A53; ERW",TRUE,8BSPRG10,candidate from photo - review OCR before import
