rowNumber,catalog,category,material,displayName,description,sizeNominal,sizeUnit,imageUrl,aliases,isActive,sourceSku,importStatus
1,Plumbing,Pipe,Carbon Steel,"2 1/2"" x 21' BLK STD ERW A53 Roll Grooved","2 1/2"" x 21' BLK STD ERW A53 Roll Grooved",2 1/2,in,,"212BSPRG; 2 1/2 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW; 2 1/2"" Carbon Steel 2 1/2 X21 BLK STD ERW A53 RG",TRUE,212BSPRG,candidate from photo - review OCR before import
2,Plumbing,Pipe,Carbon Steel,"3"" x 21' BLK STD ERW A53 Roll Grooved","3"" x 21' BLK STD ERW A53 Roll Grooved",3,in,,"3BSPRG; 3 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW; 3"" Carbon Steel 3 X21 BLK STD ERW A53 RG",TRUE,3BSPRG,candidate from photo - review OCR before import
3,Plumbing,Pipe,Carbon Steel,"4"" x 21' BLK STD ERW A53 Roll Grooved","4"" x 21' BLK STD ERW A53 Roll Grooved",4,in,,"4BSPRG; 4 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW; 4"" Carbon Steel 4 X21 BLK STD ERW A53 RG",TRUE,4BSPRG,candidate from photo - review OCR before import
4,Plumbing,Pipe,Carbon Steel,"6"" x 21' BLK STD ERW A53 Roll Grooved","6"" x 21' BLK STD ERW A53 Roll Grooved",6,in,,"6BSPRG; 6 X21 BLK STD ERW A53 RG; Black steel pipe; A53; ERW; 6"" Carbon Steel 6 X21 BLK STD ERW A53 RG",TRUE,6BSPRG,candidate from photo - review OCR before import
5,Plumbing,Pipe,Carbon Steel,"2 1/2"" x 21' BLK STD ERW A53 Beveled End","2 1/2"" x 21' BLK STD ERW A53 Beveled End",2 1/2,in,,"212BSPPE; 2 1/2 X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 2 1/2"" Carbon Steel 2 1/2 X 21 BLK STD ERW A53 BE",TRUE,212BSPPE,candidate from photo - review OCR before import
6,Plumbing,Pipe,Carbon Steel,"3"" x 21' BLK STD ERW A53 Beveled End","3"" x 21' BLK STD ERW A53 Beveled End",3,in,,"3BSPPE; 3 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 3"" Carbon Steel 3 X21 BLK STD ERW A53 BE",TRUE,3BSPPE,candidate from photo - review OCR before import
7,Plumbing,Pipe,Carbon Steel,"4"" x 21' BLK STD ERW A53 Beveled End","4"" x 21' BLK STD ERW A53 Beveled End",4,in,,"4BSPPE; 4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 4"" Carbon Steel 4 X21 BLK STD ERW A53 BE",TRUE,4BSPPE,candidate from photo - review OCR before import
8,Plumbing,Pipe,Carbon Steel,"6"" x 21' BLK STD ERW A53 Beveled End","6"" x 21' BLK STD ERW A53 Beveled End",6,in,,"6BSPPE; 6 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 6"" Carbon Steel 6 X21 BLK STD ERW A53 BE",TRUE,6BSPPE,candidate from photo - review OCR before import
9,Plumbing,Pipe,Carbon Steel,"8"" x 21' BLK STD ERW A53 Beveled End","8"" x 21' BLK STD ERW A53 Beveled End",8,in,,"8BSPPE; 8 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 8"" Carbon Steel 8 X21 BLK STD ERW A53 BE",TRUE,8BSPPE,candidate from photo - review OCR before import
10,Plumbing,Pipe,Carbon Steel,"10"" x 21' BLK STD ERW A53 Beveled End","10"" x 21' BLK STD ERW A53 Beveled End",10,in,,"10BSPPE; 10"" X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 10"" Carbon Steel 10"" X 21 BLK STD ERW A53 BE",TRUE,10BSPPE,candidate from photo - review OCR before import
11,Plumbing,Pipe,Carbon Steel,"12"" x 21' BLK STD ERW A53 Beveled End","12"" x 21' BLK STD ERW A53 Beveled End",12,in,,"120BSPPE; 12"" X 21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 12"" Carbon Steel 12"" X 21 BLK STD ERW A53 BE",TRUE,120BSPPE,candidate from photo - review OCR before import
12,Plumbing,Pipe,Carbon Steel,"1/2"" x 21' BLK STD ERW A53 Beveled End","1/2"" x 21' BLK STD ERW A53 Beveled End",1/2,in,,"12BSPPE; 1/2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 1/2"" Carbon Steel 1/2 X21 BLK STD ERW A53 BE",TRUE,12BSPPE,candidate from photo - review OCR before import
13,Plumbing,Pipe,Carbon Steel,"3/4"" x 21' BLK STD ERW A53 Beveled End","3/4"" x 21' BLK STD ERW A53 Beveled End",3/4,in,,"34BSPPE; 3/4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 3/4"" Carbon Steel 3/4 X21 BLK STD ERW A53 BE",TRUE,34BSPPE,candidate from photo - review OCR before import
14,Plumbing,Pipe,Carbon Steel,"1"" x 21' BLK STD ERW A53 Beveled End","1"" x 21' BLK STD ERW A53 Beveled End",1,in,,"1BSPPE; 1 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 1"" Carbon Steel 1 X21 BLK STD ERW A53 BE",TRUE,1BSPPE,candidate from photo - review OCR before import
15,Plumbing,Pipe,Carbon Steel,"1 1/4"" x 21' BLK STD ERW A53 Beveled End","1 1/4"" x 21' BLK STD ERW A53 Beveled End",1 1/4,in,,"114BSPPE; 1 1/4 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 1 1/4"" Carbon Steel 1 1/4 X21 BLK STD ERW A53 BE",TRUE,114BSPPE,candidate from photo - review OCR before import
16,Plumbing,Pipe,Carbon Steel,"1 1/2"" x 21' BLK STD ERW A53 Beveled End","1 1/2"" x 21' BLK STD ERW A53 Beveled End",1 1/2,in,,"112BSPPE; 1 1/2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 1 1/2"" Carbon Steel 1 1/2 X21 BLK STD ERW A53 BE",TRUE,112BSPPE,candidate from photo - review OCR before import
17,Plumbing,Pipe,Carbon Steel,"2"" x 21' BLK STD ERW A53 Beveled End","2"" x 21' BLK STD ERW A53 Beveled End",2,in,,"2BSPPE; 2 X21 BLK STD ERW A53 BE; Black steel pipe; A53; ERW; 2"" Carbon Steel 2 X21 BLK STD ERW A53 BE",TRUE,2BSPPE,candidate from photo - review OCR before import
18,Plumbing,Pipe,Carbon Steel,"1/2"" x 21' BLK STD ERW A53 Threaded","1/2"" x 21' BLK STD ERW A53 Threaded",1/2,in,,"12BSPSC; 1/2 X21 BLK STD ERW A53 T/C; Black steel pipe; A53; ERW; 1/2"" Carbon Steel 1/2 X21 BLK STD ERW A53 T/C",TRUE,12BSPSC,candidate from photo - review OCR before import
